ticker,start_time,Q_shares,v60,realized_vol,volume_cv,twap_fill,vwap_fill,twap_is,vwap_is,market_vwap,twap_slip_mvwap,vwap_slip_mvwap,twap_avg_price,vwap_avg_price,p0,is_diff_vwap_minus_twap,vwap_better_is,slip_diff_vwap_minus_twap,vwap_better_mvwap
MSFT,2026-01-27 13:45:00-05:00,16134.31,1613431.0,0.0030846815371183,0.1950037915746862,1.0,1.0,0.1206156412759469,0.1426555421858779,481.872666528514,-0.022039900909931,0.0,481.8506266276041,481.872666528514,481.7300109863281,0.022039900909931,False,0.022039900909931,False
NVDA,2026-01-28 10:55:00-05:00,157710.83000000002,15771083.0,0.005624902437055,0.2133030624521237,1.0,1.0,0.3070119222005303,0.2186904519907386,191.1286941141001,0.0883214702097632,-2.8421709430404014e-14,191.21701558430988,191.12869411410009,190.91000366210935,-0.0883214702097916,True,-0.0883214702097916,True
NVDA,2026-02-05 13:15:00-05:00,108074.59,10807459.0,0.0055871234674646,0.1266704235585159,1.0,1.0,-0.7710444132486884,-0.7851838974719669,173.79481793358272,0.0141394842232784,0.0,173.808957417806,173.79481793358272,174.5800018310547,-0.0141394842232784,True,-0.0141394842232784,True
AMZN,2026-02-24 15:40:00-05:00,140371.4,14037140.0,0.0090865050521387,0.8605723342738171,0.9860948645284344,1.0,1.4381998640706684,1.9700803387844132,210.4150876630031,-0.5318804747137165,2.8421709430404014e-14,209.88320718828945,210.41508766300316,208.44500732421875,0.5318804747137449,False,0.5318804747137449,False
SPY,2026-01-05 13:10:00-05:00,52080.34,5208034.0,0.0008094820738898,0.3680963433084336,1.0,1.0,0.0312652587888351,-0.0270715049903174,688.392911405166,0.0583367637790388,-1.1368683772161605e-13,688.4512481689451,688.3929114051659,688.4199829101562,-0.0583367637791525,True,-0.0583367637791525,True
AAPL,2025-12-29 09:35:00-05:00,26771.57,2677157.0,0.0032490790642111,0.2612259482147999,0.9999999999999998,0.9999999999999998,-0.4174906412759469,-0.3993693624555021,273.71464430941944,-0.0181212788203879,5.684341886080803e-14,273.69652303059905,273.7146443094195,274.114013671875,0.0181212788204447,False,0.0181212788204447,False
SPY,2026-02-06 12:30:00-05:00,68638.98,6863898.0,0.0016242763620932,0.3622639774410412,1.0,1.0,0.238749186197765,0.2613224049072187,688.9413150806885,-0.0225732187094536,0.0,688.918741861979,688.9413150806885,688.6799926757812,0.0225732187094536,False,0.0225732187094536,False
AMZN,2026-02-18 14:55:00-05:00,38491.96,3849196.0,0.0031912730505355,0.3619494413642458,1.0,1.0,0.3387044270833428,0.4361821184136545,204.80617723560115,-0.0974776913303117,0.0,204.70869954427084,204.80617723560115,204.3699951171875,0.0974776913303117,False,0.0974776913303117,False
SPY,2026-01-26 11:05:00-05:00,50379.8,5037980.0,0.0011182057095997,0.2941109996771321,1.0,1.0,0.1391652425131724,0.1505241496386133,693.000499735576,-0.0113589071253272,1.1368683772161605e-13,692.9891408284507,693.0004997355761,692.8499755859375,0.0113589071254409,False,0.0113589071254409,False
SPY,2026-01-26 11:55:00-05:00,41717.99,4171799.0,0.0008867127316872,0.3363287864600409,1.0,1.0,0.2968699137366002,0.3007529314245403,693.4207480486122,-0.0038830176880537,-1.1368683772161605e-13,693.4168650309241,693.420748048612,693.1199951171875,0.00388301768794,False,0.00388301768794,False
